ciiu,actividad,cou,prefijo,nota
463013,"463013 - Venta al por mayor de productos del mar (pescados, mariscos y algas)",75,46,comercio mayorista
463014,463014 - Venta al por mayor de productos de confitería,75,46,comercio mayorista
463019,"463019 - Venta al por mayor de huevos, lácteos, abarrotes y de otros alimentos n.c.p.",75,46,comercio mayorista
463020,463020 - Venta al por mayor de bebidas alcohólicas y no alcohólicas,75,46,comercio mayorista
463030,463030 - Venta al por mayor de tabaco,75,46,comercio mayorista
464100,"464100 - Venta al por mayor de productos textiles, prendas de vestir y calzado",75,46,comercio mayorista
464901,"464901 - Venta al por mayor de muebles, excepto muebles de oficina",75,46,comercio mayorista
464902,464902 - Venta al por mayor de artículos eléctricos y electrónicos para el hogar,75,46,comercio mayorista
464903,"464903 - Venta al por mayor de artículos de perfumería, de tocador y cosméticos",75,46,comercio mayorista
464904,464904 - Venta al por mayor de artículos de papelería y escritorio,75,46,comercio mayorista
464905,464905 - Venta al por mayor de libros,75,46,comercio mayorista
464906,464906 - Venta al por mayor de diarios y revistas,75,46,comercio mayorista
464907,464907 - Venta al por mayor de productos farmacéuticos y medicinales,75,46,comercio mayorista
464908,464908 - Venta al por mayor de instrumentos científicos y quirúrgicos,75,46,comercio mayorista
464909,464909 - Venta al por mayor de otros enseres domésticos n.c.p.,75,46,comercio mayorista
465100,"465100 - Venta al por mayor de computadores, equipo periférico y programas informáticos",75,46,comercio mayorista
465200,"465200 - Venta al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones",75,46,comercio mayorista
465300,"465300 - Venta al por mayor de maquinaria, equipo y materiales agropecuarios",75,46,comercio mayorista
465901,"465901 - Venta al por mayor de maquinaria metalúrgica, para la minería, extracción de petróleo y construcción",75,46,comercio mayorista
465902,"465902 - Venta al por mayor de maquinaria para la elaboración de alimentos, bebidas y tabaco",75,46,comercio mayorista
465903,"465903 - Venta al por mayor de maquinaria para la industria textil, del cuero y del calzado",75,46,comercio mayorista
465904,465904 - Venta al por mayor de maquinaria y equipo de oficina; venta al por mayor de muebles de oficina,75,46,comercio mayorista
465905,"465905 - Venta al por mayor de equipo de transporte (excepto vehículos automotores, motocicletas y bicicletas)",75,46,comercio mayorista
465909,465909 - Venta al por mayor de otros tipos de maquinaria y equipo n.c.p.,75,46,comercio mayorista
466100,"466100 - Venta al por mayor de combustibles sólidos, líquidos y gaseosos y productos conexos",75,46,comercio mayorista
466200,466200 - Venta al por mayor de metales y minerales metalíferos,75,46,comercio mayorista
466301,466301 - Venta al por mayor de madera en bruto y productos primarios de la elaboración de madera,75,46,comercio mayorista
466302,"466302 - Venta al por mayor de materiales de construcción, artículos de ferretería, gasfitería y calefacción",75,46,comercio mayorista
466901,466901 - Venta al por mayor de productos químicos,75,46,comercio mayorista
466902,466902 - Venta al por mayor de desechos metálicos (chatarra),75,46,comercio mayorista
466909,"466909 - Venta al por mayor de desperdicios, desechos y otros productos n.c.p.",75,46,comercio mayorista
469000,469000 - Venta al por mayor no especializada,75,46,comercio mayorista
471100,"471100 - Venta al por menor en comercios de alimentos, bebidas o tabaco (supermercados e hipermercados)",76,47,comercio minorista
471910,471910 - Venta al por menor en comercios de vestuario y productos para el hogar (grandes tiendas),76,47,comercio minorista
471990,471990 - Otras actividades de venta al por menor en comercios no especializados n.c.p.,76,47,comercio minorista
472101,472101 - Venta al por menor de alimentos en comercios especializados (almacenes pequeños y minimarket),76,47,comercio minorista
472102,472102 - Venta al por menor en comercios especializados de carne y productos cárnicos,76,47,comercio minorista
472103,472103 - Venta al por menor en comercios especializados de frutas y verduras (verdulerías),76,47,comercio minorista
472104,"472104 - Venta al por menor en comercios especializados de pescado, mariscos y productos conexos",76,47,comercio minorista
472105,472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,76,47,comercio minorista
472109,"472109 - Venta al por menor en comercios especializados de huevos, confites y productos alimenticios n.c.p.",76,47,comercio minorista
472200,472200 - Venta al por menor de bebidas alcohólicas y no alcohólicas en comercios especializados (botillerías),76,47,comercio minorista
472300,472300 - Venta al por menor de tabaco y productos de tabaco en comercios especializados,76,47,comercio minorista
473000,473000 - Venta al por menor de combustibles para vehículos automotores en comercios especializados,76,47,comercio minorista
474100,"474100 - Venta al por menor de computadores, equipo periférico, programas informáticos y equipo de telecom.",76,47,comercio minorista
474200,474200 - Venta al por menor de equipo de sonido y de video en comercios especializados,76,47,comercio minorista
475100,"475100 - Venta al por menor de telas, lanas, hilos y similares en comercios especializados",76,47,comercio minorista
475201,475201 - Venta al por menor de artículos de ferretería y materiales de construcción,76,47,comercio minorista
475202,"475202 - Venta al por menor de pinturas, barnices y lacas en comercios especializados",76,47,comercio minorista
475203,475203 - Venta al por menor de productos de vidrio en comercios especializados,76,47,comercio minorista
475300,"475300 - Venta al por menor de tapices, alfombras y cubrimientos para paredes y pisos",76,47,comercio minorista
475901,475901 - Venta al por menor de muebles y colchones en comercios especializados,76,47,comercio minorista
475902,475902 - Venta al por menor de instrumentos musicales en comercios especializados,76,47,comercio minorista
475909,"475909 - Venta al por menor de aparatos eléctricos, textiles para el hogar y otros enseres domésticos n.c.p.",76,47,comercio minorista
476101,476101 - Venta al por menor de libros en comercios especializados,76,47,comercio minorista
476102,476102 - Venta al por menor de diarios y revistas en comercios especializados,76,47,comercio minorista
476103,476103 - Venta al por menor de artículos de papelería y escritorio en comercios especializados,76,47,comercio minorista
476200,476200 - Venta al por menor de grabaciones de música y de video en comercios especializados,76,47,comercio minorista
476301,476301 - Venta al por menor de artículos de caza y pesca en comercios especializados,76,47,comercio minorista
476302,476302 - Venta al por menor de bicicletas y sus repuestos en comercios especializados,76,47,comercio minorista
476309,476309 - Venta al por menor de otros artículos y equipos de deporte n.c.p.,76,47,comercio minorista
476400,476400 - Venta al por menor de juegos y juguetes en comercios especializados,76,47,comercio minorista
477101,477101 - Venta al por menor de calzado en comercios especializados,76,47,comercio minorista
477102,477102 - Venta al por menor de prendas y accesorios de vestir en comercios especializados,76,47,comercio minorista
477103,"477103 - Venta al por menor de carteras, maletas y otros accesorios de viaje en comercios especializados",76,47,comercio minorista
477201,477201 - Venta al por menor de productos farmacéuticos y medicinales en comercios especializados,76,47,comercio minorista
477202,477202 - Venta al por menor de artículos ortopédicos en comercios especializados,76,47,comercio minorista
477203,"477203 - Venta al por menor de artículos de perfumería, de tocador y cosméticos en comercios especializados",76,47,comercio minorista
477310,477310 - Venta al por menor de gas licuado en bombonas (cilindros) en comercios especializados,76,47,comercio minorista
477391,477391 - Venta al por menor de alimento y accesorios para mascotas en comercios especializados,76,47,comercio minorista
477392,477392 - Venta al por menor de armas y municiones en comercios especializados,76,47,comercio minorista
477393,477393 - Venta al por menor de artículos ópticos en comercios especializados,76,47,comercio minorista
477394,"477394 - Venta al por menor de artículos de joyería, bisutería y relojería en comercios especializados",76,47,comercio minorista
477395,"477395 - Venta al por menor de carbón, leña y otros combustibles de uso doméstico en comercios especializados",76,47,comercio minorista
477396,"477396 - Venta al por menor de recuerdos, artesanías y artículos religiosos en comercios especializados",76,47,comercio minorista
477397,"477397 - Venta al por menor de flores, plantas, árboles, semillas y abonos en comercios especializados",76,47,comercio minorista
477398,477398 - Venta al por menor de mascotas en comercios especializados,76,47,comercio minorista
477399,477399 - Venta al por menor de otros productos en comercios especializados n.c.p.,76,47,comercio minorista
477401,477401 - Venta al por menor de antigüedades en comercios,76,47,comercio minorista
477402,477402 - Venta al por menor de ropa usada en comercios,76,47,comercio minorista
477409,477409 - Venta al por menor de otros artículos de segunda mano en comercios n.c.p.,76,47,comercio minorista
478100,"478100 - Venta al por menor de alimentos, bebidas y tabaco en puestos de venta y mercados (incluye ferias)",76,47,comercio minorista
478200,"478200 - Venta al por menor de productos textiles, prendas de vestir y calzado en puestos de venta y mercados",76,47,comercio minorista
478900,478900 - Venta al por menor de otros productos en puestos de venta y mercados (incluye ferias),76,47,comercio minorista
479100,"479100 - Venta al por menor por correo, por internet y vía telefónica",76,47,comercio minorista
479901,479901 - Venta al por menor realizada por independientes en la locomoción colectiva (ley 20.388),76,47,comercio minorista
479902,479902 - Venta al por menor mediante máquinas expendedoras,76,47,comercio minorista
479903,479903 - Venta al por menor por comisionistas (no dependientes de comercios),76,47,comercio minorista
479909,"479909 - Otras actividades de venta por menor no realizadas en comercios, puestos de venta o mercados n.c.p.",76,47,comercio minorista
491100,491100 - Transporte interurbano de pasajeros por ferrocarril,79,491,transporte ferroviario
491200,491200 - Transporte de carga por ferrocarril,79,491,transporte ferroviario
492110,492110 - Transporte urbano y suburbano de pasajeros vía metro y metrotren,80,492,otros transportes terrestres de pasajeros
492120,492120 - Transporte urbano y suburbano de pasajeros vía locomoción colectiva,80,492,otros transportes terrestres de pasajeros
492130,492130 - Transporte de pasajeros vía taxi colectivo,80,492,otros transportes terrestres de pasajeros
492190,492190 - Otras actividades de transporte urbano y suburbano de pasajeros por vía terrestre n.c.p.,80,492,otros transportes terrestres de pasajeros
492210,492210 - Servicios de transporte de escolares,80,492,otros transportes terrestres de pasajeros
492220,492220 - Servicios de transporte de trabajadores,80,492,otros transportes terrestres de pasajeros
492230,492230 - Servicios de transporte de pasajeros en taxis libres y radiotaxis,80,492,otros transportes terrestres de pasajeros
492240,492240 - Servicios de transporte a turistas,80,492,otros transportes terrestres de pasajeros
492250,492250 - Transporte de pasajeros en buses interurbanos,80,492,otros transportes terrestres de pasajeros
492290,492290 - Otras actividades de transporte de pasajeros por vía terrestre n.c.p.,80,492,otros transportes terrestres de pasajeros
492300,492300 - Transporte de carga por carretera,81,492300,transporte de carga por carretera
493010,493010 - Transporte por oleoductos,82,493,transporte por tuberias
493020,493020 - Transporte por gasoductos,82,493,transporte por tuberias
493090,493090 - Otras actividades de transporte por tuberías n.c.p.,82,493,transporte por tuberias
501100,501100 - Transporte de pasajeros marítimo y de cabotaje,83,50,transporte maritimo
501200,501200 - Transporte de carga marítimo y de cabotaje,83,50,transporte maritimo
502100,502100 - Transporte de pasajeros por vías de navegación interiores,83,50,transporte maritimo
502200,502200 - Transporte de carga por vías de navegación interiores,83,50,transporte maritimo
511000,511000 - Transporte de pasajeros por vía aérea,84,51,transporte aereo
512000,512000 - Transporte de carga por vía aérea,84,51,transporte aereo
521001,521001 - Explotación de frigoríficos para almacenamiento y depósito,85,521,almacenamiento y deposito
521009,521009 - Otros servicios de almacenamiento y depósito n.c.p.,85,521,almacenamiento y deposito
522110,522110 - Explotación de terminales terrestres de pasajeros,86,5221,apoyo al transporte terrestre
522120,522120 - Explotación de estacionamientos de vehículos automotores y parquímetros,86,5221,apoyo al transporte terrestre
522130,522130 - Servicios prestados por concesionarios de carreteras,86,5221,apoyo al transporte terrestre
522190,522190 - Actividades de servicios vinculadas al transporte terrestre n.c.p.,86,5221,apoyo al transporte terrestre
522200,522200 - Actividades de servicios vinculadas al transporte acuático,87,522,otras actividades de apoyo al transporte
522300,522300 - Actividades de servicios vinculadas al transporte aéreo,87,522,otras actividades de apoyo al transporte
522400,522400 - Manipulación de la carga,87,522,otras actividades de apoyo al transporte
522910,522910 - Agencias de aduanas,87,522,otras actividades de apoyo al transporte
522920,522920 - Agencias de naves,87,522,otras actividades de apoyo al transporte
522990,522990 - Otras actividades de apoyo al transporte n.c.p.,87,522,otras actividades de apoyo al transporte
531000,531000 - Actividades postales,88,53,correo y mensajeria
532000,532000 - Actividades de mensajería,88,53,correo y mensajeria
551001,551001 - Actividades de hoteles,77,55,alojamiento
551002,551002 - Actividades de moteles,77,55,alojamiento
551003,551003 - Actividades de residenciales para turistas,77,55,alojamiento
551009,551009 - Otras actividades de alojamiento para turistas n.c.p.,77,55,alojamiento
552000,552000 - Actividades de camping y de parques para casas rodantes,77,55,alojamiento
559001,559001 - Actividades de residenciales para estudiantes y trabajadores,77,55,alojamiento
559009,559009 - Otras actividades de alojamiento n.c.p.,77,55,alojamiento
561000,561000 - Actividades de restaurantes y de servicio móvil de comidas,78,56,restaurantes y servicio de comidas
562100,562100 - Suministro de comidas por encargo (servicios de banquetería),78,56,restaurantes y servicio de comidas
562900,562900 - Suministro industrial de comidas por encargo; concesión de servicios de alimentación,78,56,restaurantes y servicio de comidas
563001,"563001 - Actividades de discotecas y cabaret (night club), con predominio del servicio de bebidas",78,56,restaurantes y servicio de comidas
563009,563009 - Otras actividades de servicio de bebidas n.c.p.,78,56,restaurantes y servicio de comidas
581100,581100 - Edición de libros,93,58,edicion produccion y difusion
581200,581200 - Edición de directorios y listas de correo,93,58,edicion produccion y difusion
581300,"581300 - Edición de diarios, revistas y otras publicaciones periódicas",93,58,edicion produccion y difusion
581900,581900 - Otras actividades de edición,93,58,edicion produccion y difusion
582000,582000 - Edición de programas informáticos,92,582,edicion de programas informaticos
591100,"591100 - Actividades de producción de películas cinematográficas, videos y programas de televisión",93,59,cine video y grabacion de sonido
591200,"591200 - Actividades de postproducción de películas cinematográficas, videos y programas de televisión",93,59,cine video y grabacion de sonido
591300,"591300 - Actividades de distribución de películas cinematográficas, videos y programas de televisión",93,59,cine video y grabacion de sonido
591400,591400 - Actividades de exhibición de películas cinematográficas y cintas de video,93,59,cine video y grabacion de sonido
592000,592000 - Actividades de grabación de sonido y edición de música,93,59,cine video y grabacion de sonido
601000,601000 - Transmisiones de radio,93,60,radio y television
602000,602000 - Programación y transmisiones de televisión,93,60,radio y television
611010,611010 - Telefonía fija,90,611010,telefonia fija
611020,611020 - Telefonía larga distancia,90,611020,telefonia larga distancia
611030,611030 - Televisión de pago por cable,91,611,otras telecomunicaciones (por defecto de la clase 611)
611090,611090 - Otros servicios de telecomunicaciones alámbricas n.c.p.,91,611,otras telecomunicaciones (por defecto de la clase 611)
612010,612010 - Telefonía móvil celular,89,612,telefonia movil
612020,612020 - Radiocomunicaciones móviles,89,612,telefonia movil
612030,612030 - Televisión de pago inalámbrica,89,612,telefonia movil
612090,612090 - Otros servicios de telecomunicaciones inalámbricas n.c.p.,89,612,telefonia movil
613010,613010 - Telefonía móvil satelital,91,613,telecomunicaciones por satelite
613020,613020 - Televisión de pago satelital,91,613,telecomunicaciones por satelite
613090,613090 - Otros servicios de telecomunicaciones por satélite n.c.p.,91,613,telecomunicaciones por satelite
619010,619010 - Centros de llamados y centros de acceso a internet,91,619,otras actividades de telecomunicaciones
619090,619090 - Otras actividades de telecomunicaciones n.c.p.,91,619,otras actividades de telecomunicaciones
620100,620100 - Actividades de programación informática,92,620,programacion y consultoria informatica
620200,620200 - Actividades de consultoría de informática y de gestión de instalaciones informáticas,92,620,programacion y consultoria informatica
620900,620900 - Otras actividades de tecnología de la información y de servicios informáticos,92,620,programacion y consultoria informatica
631100,"631100 - Procesamiento de datos, hospedaje y actividades conexas",92,63,procesamiento de datos y servicios de informacion
631200,631200 - Portales web,92,63,procesamiento de datos y servicios de informacion
639100,639100 - Actividades de agencias de noticias,92,63,procesamiento de datos y servicios de informacion
639900,639900 - Otras actividades de servicios de información n.c.p.,92,63,procesamiento de datos y servicios de informacion
641100,641100 - Banca central,94,64,intermediacion financiera
641910,641910 - Actividades bancarias,94,64,intermediacion financiera
641990,641990 - Otros tipos de intermediación monetaria n.c.p.,94,64,intermediacion financiera
642000,642000 - Actividades de sociedades de cartera,94,64,intermediacion financiera
643000,643000 - Fondos y sociedades de inversión y entidades financieras similares,94,64,intermediacion financiera
649100,649100 - Leasing financiero,94,64,intermediacion financiera
649201,649201 - Financieras,94,64,intermediacion financiera
649202,649202 - Actividades de crédito prendario,94,64,intermediacion financiera
649203,649203 - Cajas de compensación,94,64,intermediacion financiera
649209,649209 - Otras actividades de concesión de crédito n.c.p.,94,64,intermediacion financiera
649900,"649900 - Otras actividades de servicios financieros, excepto las de seguros y fondos de pensiones n.c.p.",94,64,intermediacion financiera
651100,651100 - Seguros de vida,95,65,seguros y reaseguros
651210,"651210 - Seguros generales, excepto actividades de ISAPRE",95,65,seguros y reaseguros
651220,651220 - Actividades de ISAPRE,95,65,seguros y reaseguros
652000,652000 - Reaseguros,95,65,seguros y reaseguros
653000,653000 - Fondos de pensiones,95,65,seguros y reaseguros
661100,661100 - Administración de mercados financieros,96,66,auxiliares financieros
661201,661201 - Actividades de securitizadoras,96,66,auxiliares financieros
661202,661202 - Corredores de bolsa,96,66,auxiliares financieros
661203,661203 - Agentes de valores,96,66,auxiliares financieros
661204,661204 - Actividades de casas de cambio y operadores de divisa,96,66,auxiliares financieros
661209,661209 - Otros servicios de corretaje de valores y commodities n.c.p.,96,66,auxiliares financieros
661901,661901 - Actividades de cámaras de compensación,96,66,auxiliares financieros
661902,661902 - Administración de tarjetas de crédito,96,66,auxiliares financieros
661903,661903 - Empresas de asesoría y consultoría en inversión financiera; sociedades de apoyo al giro,96,66,auxiliares financieros
661904,661904 - Actividades de clasificadoras de riesgo,96,66,auxiliares financieros
661909,661909 - Otras actividades auxiliares de las actividades de servicios financieros n.c.p.,96,66,auxiliares financieros
662100,662100 - Evaluación de riesgos y daños (incluye actividades de liquidadores de seguros),96,66,auxiliares financieros
662200,662200 - Actividades de agentes y corredores de seguros,96,66,auxiliares financieros
662900,662900 - Otras actividades auxiliares de las actividades de seguros y fondos de pensiones,96,66,auxiliares financieros
663010,663010 - Administradoras de fondos de pensiones (AFP),96,66,auxiliares financieros
663091,663091 - Administradoras de fondos de inversión,96,66,auxiliares financieros
663092,663092 - Administradoras de fondos mutuos,96,66,auxiliares financieros
663093,663093 - Administradoras de fices (fondos de inversión de capital extranjero),96,66,auxiliares financieros
663094,663094 - Administradoras de fondos para la vivienda,96,66,auxiliares financieros
663099,663099 - Administradoras de fondos para otros fines n.c.p.,96,66,auxiliares financieros
681011,681011 - Alquiler de bienes inmuebles amoblados o con equipos y maquinarias,97,681,inmobiliarias con bienes propios o arrendados
681012,"681012 - Compra, venta y alquiler (excepto amoblados) de inmuebles",97,681,inmobiliarias con bienes propios o arrendados
681020,681020 - Servicios imputados de alquiler de viviendas,98,681020,servicios imputados de alquiler de viviendas
682000,682000 - Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,97,682,inmobiliarias a cambio de retribucion
691001,691001 - Servicios de asesoramiento y representación jurídica,99,69,juridicas y contabilidad
691002,691002 - Servicio notarial,99,69,juridicas y contabilidad
691003,691003 - Conservador de bienes raíces,99,69,juridicas y contabilidad
691004,691004 - Receptores judiciales,99,69,juridicas y contabilidad
691009,691009 - Servicios de arbitraje; síndicos de quiebra y peritos judiciales; otras actividades jurídicas n.c.p.,99,69,juridicas y contabilidad
692000,"692000 - Actividades de contabilidad, teneduría de libros y auditoría; consultoría fiscal",99,69,juridicas y contabilidad
701000,701000 - Actividades de oficinas principales,101,70,oficinas principales y consultoria de gestion
702000,702000 - Actividades de consultoría de gestión,101,70,oficinas principales y consultoria de gestion
711001,"711001 - Servicios de arquitectura (diseño de edificios, dibujo de planos de construcción, entre otros)",100,711,arquitectura e ingenieria
711002,711002 - Empresas de servicios de ingeniería y actividades conexas de consultoría técnica,100,711,arquitectura e ingenieria
711003,711003 - Servicios profesionales de ingeniería y actividades conexas de consultoría técnica,100,711,arquitectura e ingenieria
712001,712001 - Actividades de plantas de revisión técnica para vehículos automotores,100,712,ensayos y analisis tecnicos
712009,712009 - Otros servicios de ensayos y análisis técnicos (excepto actividades de plantas de revisión técnica),100,712,ensayos y analisis tecnicos
721000,721000 - Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería y la ingeniería,101,72,investigacion y desarrollo
722000,722000 - Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades las humanidades,101,72,investigacion y desarrollo
731001,731001 - Servicios de publicidad prestados por empresas,101,73,publicidad y estudios de mercado
731002,731002 - Servicios de publicidad prestados por profesionales,101,73,publicidad y estudios de mercado
732000,732000 - Estudios de mercado y encuestas de opinión pública,101,73,publicidad y estudios de mercado
741001,741001 - Actividades de diseño de vestuario,101,74,otras profesionales cientificas y tecnicas
741002,741002 - Actividades de diseño y decoración de interiores,101,74,otras profesionales cientificas y tecnicas
741009,741009 - Otras actividades especializadas de diseño n.c.p.,101,74,otras profesionales cientificas y tecnicas
742001,"742001 - Servicios de revelado, impresión y ampliación de fotografías",101,74,otras profesionales cientificas y tecnicas
742002,742002 - Servicios y actividades de fotografía,101,74,otras profesionales cientificas y tecnicas
742003,742003 - Servicios personales de fotografía,101,74,otras profesionales cientificas y tecnicas
749001,749001 - Asesoría y gestión en la compra o venta de pequeñas y medianas empresas,101,74,otras profesionales cientificas y tecnicas
749002,749002 - Servicios de traducción e interpretación prestados por empresas,101,74,otras profesionales cientificas y tecnicas
749003,749003 - Servicios personales de traducción e interpretación,101,74,otras profesionales cientificas y tecnicas
749004,"749004 - Actividades de agencias y agentes de representación de actores, deportistas y otras figuras públicas",101,74,otras profesionales cientificas y tecnicas
749009,"749009 - Otras actividades profesionales, científicas y técnicas n.c.p.",101,74,otras profesionales cientificas y tecnicas
750001,750001 - Actividades de clínicas veterinarias,101,750,actividades veterinarias
750002,"750002 - Actividades de veterinarios, técnicos y otro personal auxiliar, prestados de forma independiente",101,750,actividades veterinarias
771000,771000 - Alquiler de vehículos automotores sin chofer,102,77,alquiler y arrendamiento
772100,772100 - Alquiler y arrendamiento de equipo recreativo y deportivo,102,77,alquiler y arrendamiento
772200,772200 - Alquiler de cintas de video y discos,102,77,alquiler y arrendamiento
772900,772900 - Alquiler de otros efectos personales y enseres domésticos (incluye mobiliario para eventos),102,77,alquiler y arrendamiento
773001,"773001 - Alquiler de equipos de transporte sin operario, excepto vehículos automotores",102,77,alquiler y arrendamiento
773002,"773002 - Alquiler de maquinaria y equipo agropecuario, forestal, de construcción e ing. civil, sin operarios",102,77,alquiler y arrendamiento
773003,"773003 - Alquiler de maquinaria y equipo de oficina, sin operarios (sin servicio administrativo)",102,77,alquiler y arrendamiento
773009,773009 - Alquiler de otros tipos de maquinarias y equipos sin operario n.c.p.,102,77,alquiler y arrendamiento
774000,"774000 - Arrendamiento de propiedad intelectual y similares, excepto obras protegidas por derechos de autor derechos de autor",102,77,alquiler y arrendamiento
781000,781000 - Actividades de agencias de empleo,103,78,agencias de empleo
782000,782000 - Actividades de agencias de empleo temporal (incluye empresas de servicios transitorios),103,78,agencias de empleo
783000,783000 - Otras actividades de dotación de recursos humanos,103,78,agencias de empleo
791100,791100 - Actividades de agencias de viajes,103,79,agencias de viajes
791200,791200 - Actividades de operadores turísticos,103,79,agencias de viajes
799000,"799000 - Otros servicios de reservas y actividades conexas (incluye venta de entradas para teatro, y otros)",103,79,agencias de viajes
801001,801001 - Servicios de seguridad privada prestados por empresas,103,80,seguridad e investigacion
801002,801002 - Servicio de transporte de valores en vehículos blindados,103,80,seguridad e investigacion
801003,801003 - Servicios de seguridad privada prestados por independientes,103,80,seguridad e investigacion
802000,802000 - Actividades de servicios de sistemas de seguridad (incluye servicios de cerrajería),103,80,seguridad e investigacion
803000,803000 - Actividades de investigación (incluye actividades de investigadores y detectives privados),103,80,seguridad e investigacion
811000,811000 - Actividades combinadas de apoyo a instalaciones,103,81,servicios a edificios y paisajismo
812100,812100 - Limpieza general de edificios,103,81,servicios a edificios y paisajismo
812901,"812901 - Desratización, desinfección y exterminio de plagas no agrícolas",103,81,servicios a edificios y paisajismo
812909,812909 - Otras actividades de limpieza de edificios e instalaciones industriales n.c.p.,103,81,servicios a edificios y paisajismo
813000,"813000 - Actividades de paisajismo, servicios de jardinería y servicios conexos",103,81,servicios a edificios y paisajismo
821100,821100 - Actividades combinadas de servicios administrativos de oficina,103,82,administrativas y de apoyo de oficina
821900,"821900 - Fotocopiado, preparación de documentos y otras actividades especializadas de apoyo de oficina",103,82,administrativas y de apoyo de oficina
822000,822000 - Actividades de call-center,103,82,administrativas y de apoyo de oficina
823000,823000 - Organización de convenciones y exposiciones comerciales,103,82,administrativas y de apoyo de oficina
829110,829110 - Actividades de agencias de cobro,103,82,administrativas y de apoyo de oficina
829120,829120 - Actividades de agencias de calificación crediticia,103,82,administrativas y de apoyo de oficina
829200,829200 - Actividades de envasado y empaquetado,103,82,administrativas y de apoyo de oficina
829900,829900 - Otras actividades de servicios de apoyo a las empresas n.c.p.,103,82,administrativas y de apoyo de oficina
841100,841100 - Actividades de la administración pública en general,104,84,administracion publica
841200,"841200 - Regulación de las actividades de organismos que prestan servicios sanitarios, educativos, culturales",104,84,administracion publica
841300,841300 - Regulación y facilitación de la actividad económica,104,84,administracion publica
842100,842100 - Relaciones exteriores,104,84,administracion publica
842200,842200 - Actividades de defensa,104,84,administracion publica
842300,842300 - Actividades de mantenimiento del orden público y de seguridad,104,84,administracion publica
843010,843010 - Fondo nacional de salud (FONASA),104,84,administracion publica
843090,843090 - Otros planes de seguridad social de afiliación obligatoria n.c.p.,104,84,administracion publica
850011,850011 - Enseñanza preescolar pública,105,850011,ensenanza preescolar publica
850012,"850012 - Enseñanza primaria, secundaria científico humanista y técnico profesional pública",105,850012,ensenanza escolar publica
850021,850021 - Enseñanza preescolar privada,106,850,ensenanza escolar privada (por defecto de la clase 850)
850022,"850022 - Enseñanza primaria, secundaria científico humanista y técnico profesional privada",106,850,ensenanza escolar privada (por defecto de la clase 850)
853110,853110 - Enseñanza superior en universidades públicas,105,853110,universidades publicas
853120,853120 - Enseñanza superior en universidades privadas,106,853,ensenanza superior privada
853201,853201 - Enseñanza superior en institutos profesionales,106,853,ensenanza superior privada
853202,853202 - Enseñanza superior en centros de formación técnica,106,853,ensenanza superior privada
854100,854100 - Enseñanza deportiva y recreativa,106,854,otros tipos de ensenanza
854200,854200 - Enseñanza cultural,106,854,otros tipos de ensenanza
854901,854901 - Enseñanza preuniversitaria,106,854,otros tipos de ensenanza
854902,854902 - Servicios personales de educación,106,854,otros tipos de ensenanza
854909,854909 - Otros tipos de enseñanza n.c.p.,106,854,otros tipos de ensenanza
855000,855000 - Actividades de apoyo a la enseñanza,106,855,actividades de apoyo a la ensenanza
861010,861010 - Actividades de hospitales y clínicas públicas,107,861010,hospitales y clinicas publicas
861020,861020 - Actividades de hospitales y clínicas privadas,108,861,hospitales y clinicas privadas (por defecto de la clase 861)
862010,862010 - Actividades de centros de salud municipalizados (servicios de salud pública),108,862,medicos y odontologos
862021,862021 - Centros médicos privados (establecimientos de atención ambulatoria),108,862,medicos y odontologos
862022,862022 - Centros de atención odontológica privados (establecimientos de atención ambulatoria),108,862,medicos y odontologos
862031,862031 - Servicios de médicos prestados de forma independiente,108,862,medicos y odontologos
862032,862032 - Servicios de odontólogos prestados de forma independiente,108,862,medicos y odontologos
869010,869010 - Actividades de laboratorios clínicos y bancos de sangre,108,869,otras actividades de atencion de la salud
869091,869091 - Otros servicios de atención de la salud humana prestados por empresas,108,869,otras actividades de atencion de la salud
869092,869092 - Servicios prestados de forma independiente por otros profesionales de la salud,108,869,otras actividades de atencion de la salud
871000,871000 - Actividades de atención de enfermería en instituciones,108,87,atencion en instituciones
872000,872000 - Actividades de atención en instituciones para personas con discapacidad mental y toxicómanos toxicómanos,108,87,atencion en instituciones
873000,873000 - Actividades de atención en instituciones para personas de edad y personas con discapacidad física,108,87,atencion en instituciones
879000,879000 - Otras actividades de atención en instituciones,108,87,atencion en instituciones
881000,881000 - Actividades de asistencia social sin alojamiento para personas de edad y personas con discapacidad,108,88,asistencia social sin alojamiento
889000,889000 - Otras actividades de asistencia social sin alojamiento,108,88,asistencia social sin alojamiento
900001,"900001 - Servicios de producción de obras de teatro, conciertos, espectáculos de danza, otras prod. escénicas",110,90,actividades creativas y artisticas
900002,"900002 - Actividades artísticas realizadas por bandas de música, compañías de teatro, circenses y similares",110,90,actividades creativas y artisticas
900003,"900003 - Actividades de artistas realizadas de forma independiente: actores, músicos, escritores, entre otros",110,90,actividades creativas y artisticas
900004,900004 - Servicios prestados por periodistas independientes,110,90,actividades creativas y artisticas
